track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.467,93.005,0.0299,0.662,0.134,0.0,4.0,3.8275862068965516,0.37773969483114894,1,0,4
0.585,95.818,0.105,0.749,0.0504,0.0,73.0,73.45614035087719,0.4980726163711716,-1,0,73
0.837,81.618,0.201,0.834,0.114,0.0,68.0,68.27586206896552,0.4469476343729559,-1,0,68
0.682,144.015,0.0878,0.737,0.0931,0.0,79.0,78.65517241379311,0.47531202593414557,-1,0,78
0.874,180.013,0.353,0.821,0.0377,-0.01694915254237288,59.0,59.41379310344828,0.5581522088358154,-1,0,58
0.884,117.948,0.0874,0.88,0.106,0.0,81.0,80.55172413793103,0.4973174173053778,-1,0,80
0.67,148.964,0.216,0.915,0.0733,0.0,50.0,49.6551724137931,0.4753120259341456,-1,0,49
0.277,127.931,0.205,0.926,0.117,0.0,49.0,48.6551724137931,0.4753120259341456,-1,0,48
0.495,129.972,0.0846,0.843,0.137,-0.014285714285714285,70.0,70.27586206896552,0.518389530288721,-1,0,69
0.778,140.206,0.17,0.714,0.126,0.0,0.0,0.0,0.0,0,0,0
0.695,129.039,0.0719,0.866,0.0743,0.0,58.0,58.44827586206897,0.4973174173053778,-1,0,58
0.298,145.992,0.0627,0.842,0.124,-0.014925373134328358,68.0,67.48275862068965,0.5645070877153414,-1,0,66
0.335,71.972,0.157,0.716,0.22,0.0,79.0,79.42105263157895,0.4937279747182557,-1,0,79
0.899,99.996,0.0746,0.906,0.255,0.0,0.0,0.0,0.0,0,0,0
0.758,118.05,0.0668,0.829,0.122,0.0,67.0,67.34482758620689,0.7083668477301427,-1,0,66
0.503,124.968,0.0445,0.649,0.0824,0.0,0.0,0.0,0.0,0,0,0
0.697,144.901,0.11,0.611,0.12,0.0,53.0,53.44827586206897,0.4973174173053778,-1,0,53
0.713,129.047,0.0745,0.866,0.0689,0.0,0.0,0.0,0.0,0,0,0
0.507,135.998,0.127,0.907,0.101,0.0,72.0,71.58620689655173,0.49251230541674823,-1,0,71
0.457,112.974,0.178,0.87,0.0902,0.0,64.0,63.689655172413794,0.46263475396547366,-1,0,63
0.512,117.932,0.326,0.727,0.07,0.0,4.0,4.0,0.0,0,0,4
0.226,179.974,0.287,0.745,0.0658,0.0,83.0,83.0,0.0,0,0,83
0.272,105.013,0.0393,0.507,0.0658,0.0,0.0,0.0,0.0,0,0,0
0.319,70.142,0.323,0.725,0.0884,0.0,0.0,0.0,0.0,0,0,0
0.566,76.02,0.0277,0.664,0.0857,0.0,4.0,3.896551724137931,0.7586206896551725,-1,0,3
0.758,143.072,0.134,0.732,0.116,0.0,75.0,74.62068965517241,0.48521542343001,-1,0,74
0.523,150.964,0.179,0.746,0.132,0.0,66.0,66.44827586206897,0.4973174173053778,-1,0,66
0.532,103.391,0.0466,0.413,0.323,-0.017241379310344827,58.0,58.206896551724135,0.4827586206896552,-1,0,57
0.473,110.134,0.237,0.776,0.112,0.0,77.0,77.10344827586206,0.30454347814923616,-1,0,77
0.571,127.435,0.0407,0.679,0.271,0.0,72.0,72.44827586206897,0.4973174173053778,-1,0,72
0.236,127.087,0.0364,0.784,0.0887,0.0,0.0,0.4482758620689655,0.4973174173053778,1,0,1
0.568,140.053,0.046,0.668,0.0293,0.0,88.0,88.0,1.0540925533894598,-1,0,86
