track__energy,track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.593,0.153,94.467,0.0322,0.515,0.25,0.0,77.0,77.0,0.0,0,0,77
0.348,0.248,120.048,0.0285,0.594,0.317,0.0,76.0,75.96153846153847,0.19230769230769232,0,0,76
0.469,0.288,132.023,0.0254,0.574,0.128,0.0,33.0,32.8235294117647,0.3812200410828153,0,0,33
0.512,0.599,105.004,0.146,0.948,0.0504,0.0,68.0,68.0,0.0,0,0,68
0.562,0.368,116.931,0.0355,0.755,0.18,0.012048192771084338,83.0,83.26923076923077,0.4435600997950307,1,1,84
0.63,0.705,150.094,0.237,0.619,0.468,0.0,62.0,62.0,0.0,0,0,62
0.723,0.576,77.468,0.0666,0.572,0.339,0.0,35.0,31.0,9.260923597695477,1,0,38
0.521,0.382,164.976,0.136,0.592,0.104,0.0,27.0,27.0,0.0,0,0,27
0.653,0.0987,115.003,0.0538,0.571,0.121,0.0,21.0,20.615384615384617,0.6249260311258431,1,0,21
0.521,0.3,80.046,0.0247,0.557,0.262,0.0,40.0,39.82142857142857,0.38299304624155744,1,0,40
0.586,0.318,169.93,0.0357,0.467,0.12,0.0,57.0,57.0,0.0,0,0,57
0.607,0.498,81.001,0.1,0.684,0.191,0.0,85.0,84.6078431372549,0.4882313567838718,0,0,85
0.43,0.498,102.991,0.206,0.929,0.105,0.0,63.0,63.38461538461539,0.4865042554105199,0,0,63
0.738,0.323,100.007,0.0485,0.654,0.148,0.0,25.0,25.26923076923077,0.4435600997950306,0,0,25
0.454,0.224,131.007,0.0707,0.719,0.318,0.0,77.0,77.2135922330097,0.4098421537709792,0,0,77
0.965,0.304,128.04,0.0343,0.561,0.371,0.0,85.0,85.0,0.0,0,0,85
0.735,0.418,88.98,0.0391,0.644,0.161,0.0,86.0,86.0,0.0,0,0,86
0.381,0.434,116.028,0.0494,0.813,0.0985,0.0,65.0,64.8076923076923,0.3941134909984461,0,0,65
0.507,0.69,168.955,0.0357,0.686,0.383,0.0,72.0,72.2875,0.45259667475579185,0,0,72
0.648,0.49,96.888,0.062,0.633,0.161,0.0,81.0,81.37837837837837,0.48498266067368545,0,0,81
0.31,0.131,139.614,0.0625,0.418,0.216,0.0,69.0,69.0,0.0,0,0,69
0.634,0.44,99.998,0.0291,0.591,0.113,0.0,76.0,76.02564102564102,0.5057200749568211,0,0,76
0.678,0.254,84.039,0.266,0.637,0.156,0.0,85.0,85.07692307692308,0.2664693550105965,0,0,85
0.742,0.199,145.007,0.0529,0.587,0.146,0.0,23.0,23.423076923076923,1.3351196121315216,0,0,21
0.705,0.635,111.487,0.0756,0.398,0.443,0.0,80.0,80.41176470588235,0.49215295678475035,0,0,80
0.785,0.646,94.127,0.0562,0.731,0.111,0.0,0.0,0.0,0.0,0,0,0
0.797,0.825,139.994,0.0475,0.704,0.0546,0.0,79.5,79.5,0.5,0,0,79
0.731,0.662,173.93,0.0557,0.52,0.311,0.0,27.0,27.05263157894737,0.8163350104144339,0,0,28
0.781,0.824,107.007,0.0428,0.811,0.121,0.0,69.0,69.38461538461539,0.4865042554105199,0,0,69
0.636,0.525,170.01,0.0638,0.565,0.447,0.0,56.0,55.791666666666664,2.75347003292613,0,0,51
0.921,0.729,136.996,0.0446,0.733,0.122,0.0,72.0,71.9375,0.24206145913796356,0,0,72
0.655,0.793,92.9,0.0652,0.649,0.22,0.0,69.0,69.33333333333333,0.4714045207910317,0,0,70
0.773,0.496,160.08,0.0775,0.567,0.111,0.0,2.0,2.1538461538461537,0.5329387100211931,0,0,1
0.907,0.249,120.968,0.0606,0.73,0.23,0.0,65.0,65.0,0.0,0,0,65
0.891,0.912,133.01,0.241,0.95,0.309,0.0,67.0,67.0,0.0,0,0,67
0.743,0.722,108.966,0.0656,0.836,0.335,-0.018867924528301886,57.0,57.25242718446602,2.8445773539082744,-1,0,52
0.592,0.719,101.058,0.0324,0.881,0.0901,0.0,68.0,68.2,0.39999999999999997,0,0,68
0.317,0.268,169.914,0.0531,0.44,0.141,0.0,77.0,77.0,0.0,0,0,77
0.786,0.446,153.967,0.0501,0.544,0.169,0.0,3.0,3.1454545454545455,0.3525585350848239,0,0,4
0.528,0.635,166.084,0.275,0.811,0.0787,0.0,60.0,60.19230769230769,0.3941134909984461,0,0,61
0.704,0.894,149.995,0.0615,0.736,0.0501,0.0,73.0,73.0,0.0,0,0,73
0.475,0.234,98.047,0.0516,0.801,0.0639,0.0,79.0,79.0,0.0,0,0,79
0.519,0.884,96.97,0.31,0.935,0.425,0.0,58.0,58.0,0.0,0,0,58
0.442,0.706,90.019,0.107,0.815,0.101,0.0,2.0,1.7692307692307692,0.4213250442347432,0,0,1
0.716,0.841,131.43,0.0404,0.768,0.15,0.0,19.0,19.2,0.4,0,0,20
0.896,0.653,115.143,0.0599,0.389,0.501,0.0,0.0,0.0,0.0,0,0,0
0.697,0.684,116.033,0.0484,0.68,0.661,0.0,66.0,65.8076923076923,0.3941134909984461,0,0,66
0.6,0.457,100.012,0.158,0.874,0.126,0.0,63.0,63.0,0.0,0,0,63
0.54,0.415,121.932,0.0493,0.695,0.367,0.0,72.0,72.01960784313725,0.13864838846795052,0,0,72
0.783,0.555,77.011,0.266,0.728,0.434,0.0,73.0,73.45833333333333,0.6441510347391795,0,0,75
0.605,0.419,81.98,0.0432,0.592,0.103,0.0,59.0,59.0,0.0,0,0,59
0.559,0.338,72.498,0.0358,0.559,0.138,0.0,71.0,70.96153846153847,0.19230769230769232,0,0,71
0.525,0.531,80.87,0.0944,0.761,0.0921,0.0,31.0,30.824324324324323,0.38054399568456015,0,0,31
0.459,0.704,112.56,0.0357,0.888,0.11,0.0,59.0,58.92307692307692,0.2664693550105965,0,0,59
0.61,0.336,114.06,0.0382,0.583,0.14,0.0,74.0,74.0,0.0,0,0,74
0.75,0.88,97.953,0.078,0.783,0.241,0.0,57.0,57.30769230769231,0.46153846153846156,0,0,57
0.612,0.232,179.773,0.0608,0.345,0.194,0.0,71.0,71.0,0.0,0,0,71
0.527,0.638,84.974,0.0769,0.742,0.25,0.0,67.0,67.0,0.0,0,0,67
0.428,0.44,87.724,0.205,0.494,0.0816,0.0,78.0,78.0,0.0,0,0,78
0.612,0.687,179.629,0.363,0.594,0.461,0.0,63.0,63.0,0.0,0,0,63
0.699,0.696,81.003,0.199,0.77,0.17,0.0,61.0,60.92307692307692,0.2664693550105965,0,0,61
0.846,0.546,87.981,0.22,0.737,0.0486,0.0,74.0,73.61538461538461,0.48650425541051995,0,0,73
0.764,0.478,169.928,0.0483,0.591,0.103,0.0,78.0,78.0,0.0,0,0,78
0.766,0.55,95.016,0.0389,0.647,0.096,0.0,57.0,56.80769230769231,0.3941134909984461,0,0,57
0.764,0.881,107.998,0.0854,0.824,0.117,0.0,82.0,82.0,0.0,0,0,82
0.897,0.591,126.026,0.0348,0.808,0.364,0.0,7.0,6.884615384615385,0.6401275760420477,0,0,7
0.673,0.494,121.963,0.0444,0.671,0.304,0.0,76.0,76.00970873786407,0.09805344600351527,0,0,76
0.741,0.441,153.96,0.0478,0.601,0.415,0.0,83.0,83.11538461538461,0.31948553318915673,0,0,83
0.652,0.922,143.08,0.152,0.775,0.105,0.0,63.0,62.96363636363636,0.18719327529067276,0,0,63
0.824,0.753,108.625,0.0299,0.568,0.0855,0.0,70.5,70.5,0.5,0,0,71
0.47,0.399,94.995,0.0299,0.773,0.0851,0.0,71.0,71.05,0.21794494717703367,0,0,71
0.739,0.533,93.005,0.0411,0.727,0.161,0.0,74.0,74.0625,0.24206145913796356,0,0,74
0.701,0.742,110.968,0.0286,0.762,0.123,0.0,71.0,71.0,0.0,0,0,71
0.661,0.668,168.56,0.204,0.556,0.101,0.0,17.0,16.653846153846153,0.47574295680203776,0,0,16
0.454,0.357,133.073,0.375,0.935,0.0824,0.0,75.0,75.3076923076923,0.46153846153846156,0,0,75
0.722,0.756,90.989,0.0369,0.7,0.272,0.0,4.0,4.1923076923076925,0.39411349099844606,0,0,4
0.673,0.779,110.962,0.159,0.787,0.0904,0.0,73.0,73.11538461538461,0.31948553318915673,0,0,73
0.918,0.78,120.008,0.0603,0.948,0.26,0.0,35.0,35.03846153846154,0.19230769230769232,0,0,35
0.548,0.543,83.995,0.353,0.709,0.133,0.0,76.0,76.46153846153847,0.498518515262143,0,0,77
0.431,0.348,144.026,0.135,0.726,0.696,0.0,78.0,78.0,0.0,0,0,79
0.63,0.816,128.977,0.0537,0.863,0.123,0.0,64.0,64.0,0.0,0,0,64
0.592,0.535,124.749,0.23,0.711,0.156,0.0,59.0,59.0,0.0,0,0,59
0.66,0.471,140.04,0.079,0.799,0.111,0.0,6.0,6.0,0.0,0,0,6
0.63,0.313,89.643,0.117,0.316,0.205,0.0,73.0,72.8076923076923,0.7348066605593384,0,0,74
0.391,0.713,141.05,0.368,0.913,0.0666,0.0,48.0,48.0,0.0,0,0,48
0.481,0.761,150.076,0.0803,0.767,0.269,0.0,70.0,69.8076923076923,0.3941134909984461,0,0,70
0.586,0.642,116.971,0.0559,0.896,0.79,0.0,81.0,81.42307692307692,0.4940474068717357,0,0,81
0.741,0.68,168.983,0.334,0.843,0.096,0.0,65.0,65.0,0.0,0,0,65
0.729,0.446,123.97,0.0475,0.68,0.224,0.0,72.0,72.42307692307692,0.4940474068717357,0,0,72
0.663,0.774,121.876,0.133,0.834,0.372,0.0,61.0,60.80769230769231,0.3941134909984461,0,0,61
0.34,0.716,94.009,0.0697,0.889,0.055,0.0,69.0,68.8076923076923,0.3941134909984461,0,0,69
0.69,0.497,89.977,0.164,0.746,0.101,0.0,73.0,73.0,0.0,0,0,73
0.525,0.694,112.022,0.0578,0.878,0.0714,0.0,14.0,14.346153846153847,1.8798999092076825,0,0,12
0.586,0.347,125.971,0.2,0.823,0.193,0.0,73.0,73.11538461538461,0.31948553318915673,0,0,74
0.642,0.452,138.026,0.189,0.819,0.0735,0.0,0.0,0.0,0.0,0,0,0
0.529,0.121,119.987,0.0487,0.699,0.285,0.0,75.0,74.96153846153847,0.19230769230769232,0,0,75
0.857,0.951,127.656,0.17,0.965,0.0726,0.0,65.0,64.92307692307692,0.2664693550105965,0,0,65
0.696,0.432,100.036,0.204,0.954,0.0754,0.0,61.0,60.92307692307692,0.2664693550105965,0,0,61
0.732,0.469,94.066,0.241,0.914,0.107,0.0,67.0,66.6923076923077,0.46153846153846156,0,0,67
0.619,0.641,112.997,0.039,0.744,0.231,0.0,78.0,77.96153846153847,0.19230769230769232,0,0,78
0.501,0.459,120.038,0.062,0.88,0.436,0.0,0.0,0.0,0.0,0,0,0
0.774,0.33,112.05,0.0892,0.674,0.393,0.0,73.0,72.8076923076923,0.3941134909984461,0,0,73
0.492,0.159,91.066,0.0538,0.399,0.11,0.0,0.0,0.038461538461538464,0.1923076923076923,0,0,0
0.485,0.225,77.355,0.0365,0.311,0.0726,0.0,76.0,76.0,0.0,0,0,76
0.724,0.898,121.975,0.0495,0.77,0.353,0.0,76.0,76.38461538461539,0.4865042554105199,0,0,76
0.527,0.429,176.123,0.147,0.541,0.286,0.0,44.0,43.729166666666664,0.4443901876604488,0,0,44
0.601,0.457,116.735,0.148,0.621,0.46,0.0,72.0,72.38461538461539,0.4865042554105199,0,0,73
0.716,0.373,116.912,0.0385,0.688,0.0989,0.015151515151515152,66.0,66.38461538461539,0.4865042554105199,1,1,67
0.585,0.485,109.978,0.094,0.83,0.248,0.0,74.0,73.96153846153847,0.19230769230769232,0,0,74
0.373,0.551,120.046,0.0384,0.705,0.289,0.0,66.0,65.8076923076923,0.3941134909984461,0,0,66
0.955,0.575,125.989,0.222,0.707,0.202,0.0,73.0,73.26923076923077,0.4435600997950306,0,0,73
0.591,0.309,139.864,0.225,0.802,0.196,0.0,74.0,74.38461538461539,0.4865042554105199,0,0,75
